team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,SET PIECE,KICK OFF,1,145,14.5,145,14.5,A10,,,,,,1
Away,PASS,PASS,1,145,14.5,151,15.1,A10,A07,0.50125,0.48725,0.49864,0.48705,1
Away,CARRY,CARRY,1,151,15.1,154,15.4,A07,,0.49864,0.48705,0.497,0.485,1
Away,PASS,PASS,1,154,15.4,171,17.1,A07,A08,0.497,0.485,0.63373,0.63449,1
Away,CARRY,CARRY,1,171,17.1,186,18.6,A08,,0.63373,0.63449,0.66986,0.59707,1
Away,PASS,PASS,1,186,18.6,203,20.3,A08,A02,0.66986,0.59707,0.80602,0.39821,1
Away,CARRY,CARRY,1,203,20.3,212,21.2,A02,,0.80602,0.39821,0.80929,0.42922,1
Away,PASS,PASS,1,212,21.2,232,23.2,A02,A03,0.80929,0.42922,0.79906,0.81522,1
Away,CARRY,CARRY,1,232,23.2,240,24.0,A03,,0.79906,0.81522,0.79756,0.81998,1
Away,PASS,PASS,1,240,24.0,252,25.2,A03,A04,0.79756,0.81998,0.68101,0.98059,1
Away,CARRY,CARRY,1,252,25.2,261,26.1,A04,,0.68101,0.98059,0.67819,0.97711,1
Away,PASS,PASS,1,261,26.1,277,27.7,A04,A03,0.67819,0.97711,0.81302,0.86586,1
Away,CARRY,CARRY,1,277,27.7,289,28.9,A03,,0.81302,0.86586,0.81388,0.86224,1
Away,PASS,PASS,1,289,28.9,302,30.2,A03,A11,0.81388,0.86224,0.96031,0.62313,1
Away,CARRY,CARRY,1,302,30.2,332,33.2,A11,,0.96031,0.62313,0.94749,0.49927,1
Away,PASS,PASS,1,332,33.2,345,34.5,A11,A02,0.94749,0.49927,0.92755,0.19358,1
Away,CARRY,CARRY,1,345,34.5,359,35.9,A02,,0.92755,0.19358,0.9066,0.14186,1
Away,BALL OUT,BALL OUT,1,359,35.9,383,38.3,A02,,0.9066,0.14186,0.51,-0.01,1
Home,SET PIECE,THROW IN,1,450,45.0,450,45.0,B21,,,,,,1
Home,PASS,PASS,1,450,45.0,460,46.0,B21,B25,0.59349,-0.0073,0.65727,0.09506,1
Home,PASS,PASS,1,460,46.0,472,47.2,B25,B21,0.65727,0.09506,0.58876,0.02204,1
Home,CARRY,CARRY,1,460,46.0,460,46.0,B25,,0.65727,0.09506,0.65727,0.09506,1
Home,CARRY,CARRY,1,472,47.2,480,48.0,B21,,0.58876,0.02204,0.58828,0.03237,1
Home,BALL LOST,BALL LOST,1,480,48.0,494,49.4,B21,,0.58828,0.03237,0.71,0.02,1
Away,RECOVERY,RECOVERY,1,493,49.3,493,49.3,A01,,0.73052,0.05659,,,1
Away,BALL LOST,BALL LOST,1,493,49.3,516,51.6,A01,,0.73052,0.05659,0.53,0.3,1
Away,CARRY,CARRY,1,493,49.3,494,49.4,A01,,0.73052,0.05659,0.73052,0.05659,1
Home,RECOVERY,RECOVERY,1,514,51.4,514,51.4,B23,,0.51723,0.24393,,,1
Home,BALL LOST,BALL LOST,1,514,51.4,526,52.6,B23,,0.51723,0.24393,0.64,0.22,1
Home,CARRY,CARRY,1,514,51.4,515,51.5,B23,,0.51723,0.24393,0.51723,0.24393,1
Away,RECOVERY,RECOVERY,1,526,52.6,526,52.6,A06,,0.63227,0.21048,,,1
Away,PASS,PASS,1,526,52.6,548,54.8,A06,A07,0.63227,0.21048,0.55851,0.38123,1
Away,CARRY,CARRY,1,526,52.6,526,52.6,A06,,0.63227,0.21048,0.63227,0.21048,1
Home,CHALLENGE,GROUND-LOST,1,547,54.7,547,54.7,B23,,0.54952,0.37123,,,1
